Name, CPF, Address, City Notification, Phone, Evolution, Date Notification, CEP, Result  Test, Gender, Age, Date Simptoms, Number Of Duplicities
FULANE SILVE, 88888888, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-04, 0, Negativo, Masculino, 38, 03/06/2020, 0
FULANE SILVE, 88888889, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-20, 0, Negativo, Masculino, 30, 19/06/2020
FULANE SILVE, 88888916, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-01, 0, , Masculino, 45, 26/05/2020
FULANE SILVE, 88888917, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-04, 0, Negativo, Masculino, 43, 02/06/2020
FULANE SILVE, 88888918, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Masculino, 42, 17/06/2020
FULANE SILVE, 88888919, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Masculino, 36, 17/06/2020
FULANE SILVE, 88888920, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-07-13, 0, Positivo, Masculino, 42, 13/07/2020
FULANE SILVE, 88888921, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-03-18, 0, Negativo, Masculino, 38, 16/03/2020
FULANE SILVE, 88888922, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-15, 0, Negativo, Masculino, 37, 15/07/2020
FULANE SILVE, 88888923, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-25, 0, Negativo, Masculino, 45, 25/05/2020
FULANE SILVE, 88888924, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Masculino, 44, 16/06/2020
FULANE SILVE, 88888925, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-06-02, 0, Positivo, Masculino, 29, 02/06/2020
FULANE SILVE, 88888926, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-13, 0, , Feminino, 23, 06/05/2020
FULANE SILVE, 88888927, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-20, 0, Negativo, Masculino, 51, 08/07/2020
FULANE SILVE, 88888928, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-26, 0, Negativo, Masculino, 40, 26/06/2020
FULANE SILVE, 88888929, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-15, 0, Negativo, Masculino, 42, 15/07/2020
FULANE SILVE, 88888930, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-21, 0, , Masculino, 40, 18/06/2020
FULANE SILVE, 88888931, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-13, 0, Negativo, Masculino, 52, 13/07/2020
FULANE SILVE, 88888932, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-09, 0, Negativo, Masculino, 59, 05/06/2020
FULANE SILVE, 88888933, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-15, 0, Negativo, Masculino, 42, 15/06/2020
FULANE SILVE, 88888934, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-20, 0, Negativo, Masculino, 27, 19/06/2020
FULANE SILVE, 88888935, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Masculino, 22, 16/06/2020
FULANE SILVE, 88888936, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-04, 0, Negativo, Masculino, 56, 28/04/2020
FULANE SILVE, 88888937, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-10, 0, , Feminino, 31, 06/07/2020
FULANE SILVE, 88888938, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-12, 0, Negativo, Masculino, 58, 27/05/2020
FULANE SILVE, 88888939, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-04-14, 0, , Feminino, 1, 10/04/2020
FULANE SILVE, 88888940, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-28, 0, Negativo, Masculino, 22, 28/05/2020
FULANE SILVE, 88888941, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-10, 0, Negativo, Masculino, 36, 10/07/2020
FULANE SILVE, 88888942, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 49, 29/05/2020
FULANE SILVE, 88888943, RUA LUGAR NENHUM, Ouro Preto, 99999999, Cura, 2020-03-27, 0, , Masculino, 60, 27/03/2020
FULANE SILVE, 88888944, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-09, 0, Negativo, Masculino, 28, 09/07/2020
FULANE SILVE, 88888945, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-18, 0, Negativo, Masculino, 39, 09/07/2020
FULANE SILVE, 88888946, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-06-01, 0, Negativo, Masculino, 33, 01/06/2020
FULANE SILVE, 88888947, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-10, 0, Negativo, Feminino, 42, 02/07/2020
FULANE SILVE, 88888948, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-09, 0, Negativo, Feminino, 43, 07/07/2020
FULANE SILVE, 88888949, RUA LUGAR NENHUM, Barra Longa, 99999999, , 2020-06-22, 0, Negativo, Feminino, 44, 22/06/2020
FULANE SILVE, 88888950, RUA LUGAR NENHUM, BarÆo de Cocais, 99999999, , 2020-06-05, 0, Negativo, Masculino, 39, 28/05/2020
FULANE SILVE, 88888951, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-25, 0, Negativo, Masculino, 41, 25/06/2020
FULANE SILVE, 88888952, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-07-02, 0, Negativo, Masculino, 42, 01/07/2020
FULANE SILVE, 88888953, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-23, 0, Negativo, Masculino, 39, 23/06/2020
FULANE SILVE, 88888954, RUA LUGAR NENHUM, Cajuri, 99999999, , 2020-07-09, 0, Negativo, Masculino, 37, 09/07/2020
FULANE SILVE, 88888955, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-05, 0, Negativo, Masculino, 46, 05/06/2020
FULANE SILVE, 88888956, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-08, 0, Negativo, Masculino, 49, 03/06/2020
FULANE SILVE, 88888957, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 39, 25/05/2020
FULANE SILVE, 88888958, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-06, 0, Negativo, Masculino, 48, 06/07/2020
FULANE SILVE, 88888959, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-15, 0, Negativo, Masculino, 39, 30/04/2020
FULANE SILVE, 88888960, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-06-04, 0, Negativo, Masculino, 41, 04/06/2020
FULANE SILVE, 88888961, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-19, 0, Negativo, Masculino, 34, 19/06/2020
FULANE SILVE, 88888962, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-30, 0, Negativo, Masculino, 43, 30/06/2020
FULANE SILVE, 88888963, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Masculino, 35, 16/06/2020
FULANE SILVE, 88888964, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-01, 0, Negativo, Masculino, 27, 01/07/2020
FULANE SILVE, 88888965, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-06-12, 0, , Masculino, 30, 11/06/2020
FULANE SILVE, 88888966, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-10, 0, Negativo, Masculino, 33, 09/06/2020
FULANE SILVE, 88888967, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-22, 0, Negativo, Masculino, 42, 19/06/2020
FULANE SILVE, 88888968, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-26, 0, Negativo, Masculino, 46, 26/05/2020
FULANE SILVE, 88888969, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-23, 0, Negativo, Masculino, 34, 23/06/2020
FULANE SILVE, 88888970, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-23, 0, , Masculino, 42, 22/05/2020
FULANE SILVE, 88888971, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Masculino, 34, 17/06/2020
FULANE SILVE, 88888972, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-15, 0, Negativo, Masculino, 41, 15/06/2020
FULANE SILVE, 88888973, RUA LUGAR NENHUM, Itabira, 99999999, , 2020-07-07, 0, Negativo, Masculino, 39, 29/05/2020
FULANE SILVE, 88888974, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-29, 0, , Masculino, 35, 27/05/2020
FULANE SILVE, 88888975, RUA LUGAR NENHUM, Nova Lima, 99999999, , 2020-03-21, 0, , Masculino, 38, 21/03/2020
FULANE SILVE, 88888976, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-14, 0, Negativo, Masculino, 32, 14/07/2020
FULANE SILVE, 88888977, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-04, 0, Negativo, Masculino, 27, 02/06/2020
FULANE SILVE, 88888978, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Masculino, 39, 17/06/2020
FULANE SILVE, 88888979, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-30, 0, Negativo, Masculino, 33, 30/05/2020
FULANE SILVE, 88888980, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-19, 0, Negativo, Masculino, 29, 19/07/2020
FULANE SILVE, 88888981, RUA LUGAR NENHUM, Ouro Preto, 99999999, Cancelado, 2020-06-23, 0, Negativo, Masculino, 39, 23/06/2020
FULANE SILVE, 88888982, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-06-17, 0, Positivo, Masculino, 34, 10/06/2020
FULANE SILVE, 88888983, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-25, 0, Negativo, Masculino, 42, 24/06/2020
FULANE SILVE, 88888984, RUA LUGAR NENHUM, Conselheiro Lafaiete, 99999999, , 2020-06-04, 0, Negativo, Masculino, 41, 02/06/2020
FULANE SILVE, 88888985, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-04-16, 0, , Feminino, 24, 13/04/2020
FULANE SILVE, 88888986, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-26, 0, Negativo, Feminino, 29, 25/06/2020
FULANE SILVE, 88888987, RUA LUGAR NENHUM, Ouro Preto, 99999999, Ignorado, 2020-03-19, 0, Negativo, Feminino, 34, 16/03/2020
FULANE SILVE, 88888988, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-22, 0, Negativo, Feminino, 38, 22/06/2020
FULANE SILVE, 88888989, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-24, 0, Negativo, Feminino, 23, 19/06/2020
FULANE SILVE, 88888990, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-18, 0, , Feminino, 25, 14/07/2020
FULANE SILVE, 88888991, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-12, 0, Negativo, Masculino, 38, 27/05/2020
FULANE SILVE, 88888992, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-07, 0, Negativo, Masculino, 39, 23/06/2020
FULANE SILVE, 88888993, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-06-23, 0, Positivo, Masculino, 26, 15/06/2020
FULANE SILVE, 88888994, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Masculino, 44, 17/06/2020
FULANE SILVE, 88888995, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-18, 0, Negativo, Masculino, 51, 17/06/2020
FULANE SILVE, 88888996, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-06-15, 0, Positivo, Masculino, 84, 09/06/2020
FULANE SILVE, 88888997, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 35, 28/05/2020
FULANE SILVE, 88888998, RUA LUGAR NENHUM, Ouro Preto, 99999999, Cura, 2020-04-28, 0, Negativo, Masculino, 51, 21/04/2020
FULANE SILVE, 88888999, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-15, 0, Negativo, Masculino, 46, 30/04/2020
FULANE SILVE, 88889000, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-06-29, 0, Negativo, Masculino, 24, 26/06/2020
FULANE SILVE, 88889001, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-19, 0, Negativo, Masculino, 46, 19/06/2020
FULANE SILVE, 88889002, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-06-10, 0, , Masculino, 40, 10/06/2020
FULANE SILVE, 88889003, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-06-01, 0, Negativo, Feminino, 23, 28/05/2020
FULANE SILVE, 88889004, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-07-14, 0, , Feminino, 3, 07/07/2020
FULANE SILVE, 88889005, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-03-25, 0, , Feminino, 3, 21/03/2020
FULANE SILVE, 88889006, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-04-03, 0, , Feminino, 2, 27/03/2020
FULANE SILVE, 88889007, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-07-02, 0, , Feminino, 30, 24/06/2020
FULANE SILVE, 88889008, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-14, 0, Negativo, Feminino, 31, 10/06/2020
FULANE SILVE, 88889009, RUA LUGAR NENHUM, Itabirito, 99999999, Cura, 2020-06-30, 0, Negativo, Feminino, 33, 29/05/2020
FULANE SILVE, 88889010, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-29, 0, , Feminino, 43, 26/05/2020
FULANE SILVE, 88889011, RUA LUGAR NENHUM, Betim, 99999999, , 2020-04-11, 0, , Feminino, 8, 10/04/2020
FULANE SILVE, 88889012, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-04, 0, , Feminino, 10, 03/07/2020
FULANE SILVE, 88889013, RUA LUGAR NENHUM, Conselheiro Lafaiete, 99999999, , 2020-06-05, 0, Negativo, Feminino, 34, 02/06/2020
FULANE SILVE, 88889014, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Feminino, 30, 16/06/2020
FULANE SILVE, 88889015, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-04-01, 0, , Feminino, 4, 22/03/2020
FULANE SILVE, 88889016, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-12, 0, , Feminino, 44, 06/07/2020
FULANE SILVE, 88889017, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-06-29, 0, Negativo, Feminino, 39, 25/06/2020
FULANE SILVE, 88889018, RUA LUGAR NENHUM, Ipatinga, 99999999, , 2020-07-02, 0, Negativo, Feminino, 36, 02/07/2020
FULANE SILVE, 88889019, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-19, 0, Negativo, Feminino, 35, 14/05/2020
FULANE SILVE, 88889020, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-10, 0, Negativo, Feminino, 47, 10/06/2020
FULANE SILVE, 88889021, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-03-25, 0, , Feminino, 39, 23/03/2020
FULANE SILVE, 88889022, RUA LUGAR NENHUM, Contagem, 99999999, , 2020-05-28, 0, Negativo, Masculino, 45, 28/05/2020
FULANE SILVE, 88889023, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-14, 0, Negativo, Masculino, 58, 26/05/2020
FULANE SILVE, 88889024, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-19, 0, Negativo, Masculino, 46, 19/06/2020
FULANE SILVE, 88889025, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-09, 0, Negativo, Masculino, 47, 09/06/2020
FULANE SILVE, 88889026, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-26, 0, Negativo, Masculino, 39, 25/06/2020
FULANE SILVE, 88889027, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 33, 28/05/2020
FULANE SILVE, 88889028, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-13, 0, Positivo, Masculino, 38, 02/07/2020
FULANE SILVE, 88889029, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-14, 0, , Masculino, 20, 09/07/2020
FULANE SILVE, 88889030, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-26, 0, Negativo, Masculino, 28, 26/06/2020
FULANE SILVE, 88889031, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 29, 29/05/2020
FULANE SILVE, 88889032, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Masculino, 39, 16/06/2020
FULANE SILVE, 88889033, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 45, 29/05/2020
FULANE SILVE, 88889034, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Masculino, 44, 15/06/2020
FULANE SILVE, 88889035, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-03-30, 0, , Masculino, 27, 16/03/2020
FULANE SILVE, 88889036, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-06-05, 0, Negativo, Masculino, 42, 05/06/2020
FULANE SILVE, 88889037, RUA LUGAR NENHUM, Conselheiro Lafaiete, 99999999, , 2020-07-17, 0, Negativo, Masculino, 42, 17/07/2020
FULANE SILVE, 88889038, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-06-09, 0, Negativo, Masculino, 23, 05/06/2020
FULANE SILVE, 88889039, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-26, 0, Negativo, Feminino, 51, 16/04/2020
FULANE SILVE, 88889040, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-14, 0, Negativo, Feminino, 41, 14/05/2020
FULANE SILVE, 88889041, RUA LUGAR NENHUM, Nova Lima, 99999999, , 2020-06-29, 0, Positivo, Masculino, 34, 29/06/2020
FULANE SILVE, 88889042, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-27, 0, Negativo, Masculino, 40, 26/06/2020
FULANE SILVE, 88889043, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-12, 0, Negativo, Masculino, 36, 01/06/2020
FULANE SILVE, 88889044, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-22, 0, Negativo, Feminino, 34, 19/06/2020
FULANE SILVE, 88889045, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-13, 0, , Feminino, 48, 11/06/2020
FULANE SILVE, 88889046, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-26, 0, Negativo, Feminino, 41, 25/06/2020
FULANE SILVE, 88889047, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-06-09, 0, Negativo, Masculino, 41, 04/06/2020
FULANE SILVE, 88889048, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-15, 0, Negativo, Masculino, 32, 15/06/2020
FULANE SILVE, 88889049, RUA LUGAR NENHUM, Ouro Preto, 99999999, Cancelado, 2020-06-04, 0, Negativo, Masculino, 40, 01/06/2020
FULANE SILVE, 88889050, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-07, 0, Negativo, Masculino, 21, 07/07/2020
FULANE SILVE, 88889051, RUA LUGAR NENHUM, Itabirito, 99999999, , 2020-06-03, 0, Negativo, Masculino, 28, 03/06/2020
FULANE SILVE, 88889052, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 40, 27/05/2020
FULANE SILVE, 88889053, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-12, 0, Negativo, Masculino, 28, 11/06/2020
FULANE SILVE, 88889054, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 30, 29/05/2020
FULANE SILVE, 88889055, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-19, 0, Positivo, Masculino, 31, 14/06/2020
FULANE SILVE, 88889056, RUA LUGAR NENHUM, Ouro Branco, 99999999, , 2020-06-30, 0, , Masculino, 33, 28/06/2020
FULANE SILVE, 88889057, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-07, 0, Negativo, Masculino, 32, 01/07/2020
FULANE SILVE, 88889058, RUA LUGAR NENHUM, Mariana, 99999999, , 2020-05-29, 0, , Masculino, 31, 28/05/2020
FULANE SILVE, 88889059, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-24, 0, Negativo, Masculino, 41, 24/06/2020
FULANE SILVE, 88889060, RUA LUGAR NENHUM, Itabirito, 99999999, , 2020-05-30, 0, Positivo, Feminino, 39, 24/05/2020
FULANE SILVE, 88889061, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-06-23, 0, Positivo, Feminino, 26, 20/06/2020
FULANE SILVE, 88889062, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Feminino, 42, 17/06/2020
FULANE SILVE, 88889063, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-07-09, 0, Negativo, Feminino, 47, 07/07/2020
FULANE SILVE, 88889064, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-05-20, 0, Negativo, Feminino, 39, 20/05/2020
FULANE SILVE, 88889065, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-05-08, 0, Negativo, Feminino, 0, 07/05/2020
FULANE SILVE, 88889066, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-05-28, 0, Negativo, Feminino, 38, 26/05/2020
FULANE SILVE, 88889067, RUA LUGAR NENHUM, Belo Horizonte, 99999999, , 2020-06-19, 0, Positivo, Masculino, 43, 01/06/2020
FULANE SILVE, 88889068, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Masculino, 47, 16/06/2020
FULANE SILVE, 88889069, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-07, 0, Negativo, Masculino, 49, 05/06/2020
FULANE SILVE, 88889070, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-06-25, 0, Positivo, Masculino, 56, 24/06/2020
FULANE SILVE, 88889071, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 21, 29/05/2020
FULANE SILVE, 88889072, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-05-29, 0, Positivo, Masculino, 56, 28/05/2020
FULANE SILVE, 88889073, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 45, 25/05/2020
